Iter 1000: Device cuda | Allocated: 13.0616 GB | Reserved: 86.7676 GB | Max Alloc: 74.3150 GB
Iter 7000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 8000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 9000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 10000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 11000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 12000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 13000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 14000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 15000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 16000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 17000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 18000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 19000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 20000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 21000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 22000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 23000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 24000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 25000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 26000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 27000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 28000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 29000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 30000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 31000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 32000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 33000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 34000: Device cuda | Allocated: 6.9197 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
