Iter 1000: Device cuda | Allocated: 13.0616 GB | Reserved: 86.7676 GB | Max Alloc: 74.3150 GB
Iter 15000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 16000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 17000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 18000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 19000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 20000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 21000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 22000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 23000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 24000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 25000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 26000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 27000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 28000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 29000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 30000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 31000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 32000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 33000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 34000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 35000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 36000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 37000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 38000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 39000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 40000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 41000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 42000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 43000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 44000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 45000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 46000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 47000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 48000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 49000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 50000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 51000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 52000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 53000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 54000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 55000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 56000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 57000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 58000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 59000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 60000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 61000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 62000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 63000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 64000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 65000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 66000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 67000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 68000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 69000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 70000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 71000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 72000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 73000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 74000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 75000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 76000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 77000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 78000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 79000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 80000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 81000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 82000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 83000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 84000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 85000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 86000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 87000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 88000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 89000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 90000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 91000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 92000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 93000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 94000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 95000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 96000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 97000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 98000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 99000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 100000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 101000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 102000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 103000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 104000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 105000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 106000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 107000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 108000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 109000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 110000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 111000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 112000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 113000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 114000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 115000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 116000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 117000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 118000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 119000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 120000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 121000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 122000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 123000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 124000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 125000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 126000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 127000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 128000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 129000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 130000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 131000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 132000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 133000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 134000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 135000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 136000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 137000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 138000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 139000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 140000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 141000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 142000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 143000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 144000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 145000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 146000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 147000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 148000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 149000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 150000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 151000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 152000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 153000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 154000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 155000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 156000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 157000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 158000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 159000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 160000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 161000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 162000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 163000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 164000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 165000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 166000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 167000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 168000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 169000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 170000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 171000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 172000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 173000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 174000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 175000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 176000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 177000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 178000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 179000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 180000: Device cuda | Allocated: 3.8492 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
Iter 180300: Device cuda | Allocated: 6.9197 GB | Reserved: 21.8691 GB | Max Alloc: 19.1954 GB
